06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader$1.run(PacketReader.java:70)
06-25 08:56:28.812   280 17423 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 08:56:28.812   280 17423 I qtaguid : Untagging socket 70 failed errno=-22
06-25 08:56:28.812   280 17423 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 08:58:36.581  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:36.581  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:36.624  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:36.624  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:36.624  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:37.281  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:37.281  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:37.281  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:37.495  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:37.495  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:37.495  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:40.035  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:40.035  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:40.035  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:40.457   142   153 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-25 08:58:40.504  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:40.504  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:40.504  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:40.664  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:58:40.664  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:40.664  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:58:41.215 16251 16253 D dalvikvm: GC_CONCURRENT freed 355K, 7% free 10789K/11527K, paused 1ms+2ms
06-25 08:59:00.617  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:59:00.621  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:59:00.621  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:59:00.632  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 08:59:00.632  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 08:59:00.632  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 08:59:00.632  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 08:59:00.636  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 08:59:01.808  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:59:01.808  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:59:01.808  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 08:59:01.808  1207  1207 D wpa_supplicant: Received 1406 bytes of scan results (8 BSSes)
06-25 08:59:01.953  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:59:01.953  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:59:01.957  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:59:01.964  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:59:02.023 16455 16457 D dalvikvm: GC_CONCURRENT freed 407K, 6% free 10368K/11015K, paused 2ms+7ms
06-25 08:59:27.058 16437 16440 D dalvikvm: GC_CONCURRENT freed 623K, 7% free 11417K/12167K, paused 13ms+2ms
06-25 08:59:27.590  1207  1207 D wpa_supplicant: EAPOL: authWhile --> 0
06-25 08:59:32.578   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:32.578   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:32.578   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:40.347   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:40.347   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:40.347   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:43.757   142   355 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-25 08:59:43.785   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:43.785   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:43.785   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:43.859   334   336 D dalvikvm: GC_CONCURRENT freed 408K, 7% free 9487K/10119K, paused 2ms+3ms
06-25 08:59:43.863  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:59:43.863  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:59:43.863  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:59:43.871  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:59:44.140  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:59:44.140  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:59:44.140  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:59:44.148  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:59:44.754   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:44.754   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:44.754   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:44.816   142   173 I power   : *** set_screen_state 1
06-25 08:59:44.867  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd RSSI len = 248
06-25 08:59:44.879  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd UB_Secure rssi -90  len = 19, 19
06-25 08:59:44.879  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd LINKSPEED len = 248
06-25 08:59:44.879  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd LinkSpeed 5 len = 11, 11
06-25 08:59:44.886  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:59:44.886  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:59:44.886  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:59:44.894  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:59:44.898   142   173 I WindowManager: Lock screen displayed!
06-25 08:59:45.015    78   118 D SurfaceFlinger: Screen about to return, flinger = 0x1d12918
06-25 08:59:45.121  1795  1808 I PhoneLab-: Service Running
06-25 08:59:45.168  1795  1808 I PhoneLab-LoggerService: app_37    1165  1     2184   1748  c00f181c 400107b4 S logcat
06-25 08:59:45.168  1795  1808 I PhoneLab-LoggerService: Logcat pid from database 1165
06-25 08:59:45.168  1795  1808 I PhoneLab-LoggerService: Logcat process found 1165
06-25 08:59:45.168  1795  1808 I PhoneLab-LoggerService: Checking Threshold
06-25 08:59:45.179  1795  1796 D dalvikvm: GC_CONCURRENT freed 874K, 18% free 9166K/11143K, paused 2ms+2ms
06-25 08:59:45.347  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:59:45.347  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:59:45.347  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:59:45.937  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:59:45.937  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:59:45.937  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c09 len=32
06-25 08:59:45.937  1207  1207 D wpa_supplicant: PMKID candidate wireless event: flags=0x0 index=0 bssid=d0:c2:82:2d:f2:a0
06-25 08:59:45.937  1207  1207 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-25 08:59:46.687   142   169 I power   : *** set_screen_state 0
06-25 08:59:46.757    78   118 D SurfaceFlinger: About to give-up screen, flinger = 0x1d12918
06-25 08:59:46.836   142   173 V TransportControlView: Create TCV com.android.internal.widget.TransportControlView@417e8a30
06-25 08:59:46.961   142   173 D dalvikvm: GC_FOR_ALLOC freed 2026K, 24% free 15770K/20679K, paused 60ms
06-25 08:59:49.457   142   293 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-25 08:59:49.468   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:49.468   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:49.468   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:57.343   334   334 D SAN_SERVICE: *******************************************
06-25 08:59:57.347   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:59:57.347   334   334 D SAN_SERVICE: *******************************************
06-25 09:00:00.668  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 09:00:00.668  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 09:00:00.675  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 09:00:00.683  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 09:00:00.683  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 09:00:00.683  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 09:00:00.683  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 09:00:00.687  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 09:00:01.867  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 09:00:01.867  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 09:00:01.867  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 09:00:01.867  1207  1207 D wpa_supplicant: Received 2214 bytes of scan results (12 BSSes)
06-25 09:00:02.054  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 09:00:02.054  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 09:00:02.054  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 09:00:02.062  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 09:00:02.097 16455 16457 D dalvikvm: GC_CONCURRENT freed 442K, 6% free 10392K/11015K, paused 2ms+3ms
06-25 09:00:02.132  1011  1014 D dalvikvm: GC_CONCURRENT freed 490K, 9% free 10347K/11271K, paused 1ms+3ms
06-25 09:00:11.882   142   142 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-25 09:00:42.422   142   142 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-25 09:01:00.707  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 09:01:00.711  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 09:01:00.714  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 09:01:00.726  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 09:01:00.726  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 09:01:00.726  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 09:01:00.726  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 09:01:00.730  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 09:01:01.902  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 09:01:01.902  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 09:01:01.902  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 09:01:01.914  1207  1207 D wpa_supplicant: Received 2087 bytes of scan results (11 BSSes)
06-25 09:01:02.046  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 09:01:02.046  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 09:01:02.050  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 09:01:02.058  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 09:01:02.148  1011  1014 D dalvikvm: GC_CONCURRENT freed 444K, 9% free 10335K/11271K, paused 1ms+2ms
06-25 09:01:23.011  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 09:01:23.011  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 09:01:23.011  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b15 len=20
06-25 09:01:23.011  1207  1207 D wpa_supplicant: Wireless event: new AP: 00:00:00:00:00:00
06-25 09:01:23.011  1207  1207 D wpa_supplicant: Added BSSID d0:c2:82:2d:f2:a0 into blacklist
06-25 09:01:23.011  1207  1207 D wpa_supplicant: BSSID d0:c2:82:2d:f2:a0 blacklist count incremented to 2
06-25 09:01:23.011  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:2d:f2:a0 reason=0
06-25 09:01:23.011  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=0 set_tx=0 seq_len=0 key_len=0
06-25 09:01:23.011 17000 17017 D CommandListener: Clearing all IP addresses on wlan0
06-25 09:01:23.015  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=1 set_tx=0 seq_len=0 key_len=0
06-25 09:01:23.015  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=2 set_tx=0 seq_len=0 key_len=0
06-25 09:01:23.015  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=3 set_tx=0 seq_len=0 key_len=0
06-25 09:01:23.015  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=0 set_tx=0 seq_len=0 key_len=0
06-25 09:01:23.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 1->0 (DORMANT)
06-25 09:01:23.019  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: SUPP_PAE entering state DISCONNECTED
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state INITIALIZE
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAP: EAP entering state DISABLED
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: External notification - portValid=0
06-25 09:01:23.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 09:01:23.019  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 09:01:23.019  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 09:01:23.031   142   198 D ConnectivityService: ConnectivityChange for WIFI: DISCONNECTED/DISCONNECTED
06-25 09:01:23.039   142   198 D ConnectivityService: Attempting to switch to mobile
06-25 09:01:23.039   142   198 D ConnectivityService: Attempting to switch to WIMAX
06-25 09:01:23.039   142   198 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
06-25 09:01:23.043   142   198 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 128.205.223.254 32 0.0.0.0} failed with code 400 : {Failed to remove route from default table (No such process)}
06-25 09:01:23.046   142   198 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 0.0.0.0 0 128.205.223.254} failed with code 400 : {Failed to remove route from default table (No such process)}
06-25 09:01:23.054   142   198 D NetUtils: android_net_utils_resetConnections in env=0x5bb278 clazz=0x55000001 iface=wlan0 mask=0x3
06-25 09:01:23.054   142   198 D ConnectivityService: resetConnections(wlan0, 3)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 09:01:23.109  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 09:01:23.109  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 09:01:23.109  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 09:01:23.113  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 09:01:23.171   280 17553 W Smack/Packet: notify conn break (IOEx), close connection
06-25 09:01:23.175 16251 17564 W System.err: javax.net.ssl.SSLException: Write error: ssl=0x4d93c0: I/O error during system call, Broken pipe
06-25 09:01:23.175 16251 17564 W System.err: 	at org.apache.harmony.xnet.provider.jsse.NativeCrypto.SSL_write(Native Method)
06-25 09:01:23.175 16251 17564 W System.err: 	at org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl$SSLOutputStream.write(OpenSSLSocketImpl.java:713)
06-25 09:01:23.175 16251 17564 W System.err: 	at java.io.OutputStreamWriter.flushBytes(OutputStreamWriter.java:167)
06-25 09:01:23.175 16251 17564 W System.err: 	at java.io.OutputStreamWriter.flush(OutputStreamWriter.java:158)
06-25 09:01:23.175 16251 17564 W System.err: 	at java.io.BufferedWriter.flush(BufferedWriter.java:124)
06-25 09:01:23.175 16251 17564 W System.err: 	at org.jivesoftware.smack.PacketWriter.writePackets(PacketWriter.java:302)
06-25 09:01:23.179 16251 17564 W System.err: 	at org.jivesoftware.smack.PacketWriter.access$12(PacketWriter.java:270)
06-25 09:01:23.179 16251 17564 W System.err: 	at org.jivesoftware.smack.PacketWriter$1.run(PacketWriter.java:137)
06-25 09:01:23.304 16251 17565 W System.err: javax.net.ssl.SSLException: Read error: ssl=0x4d93c0: I/O error during system call, Connection timed out
06-25 09:01:23.316 16251 17565 W System.err: 	at org.apache.harmony.xnet.provider.jsse.NativeCrypto.SSL_read(Native Method)
06-25 09:01:23.320 16251 17565 W System.err: 	at org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl$SSLInputStream.read(OpenSSLSocketImpl.java:671)
06-25 09:01:23.320 16251 17565 W System.err: 	at java.io.InputStreamReader.read(InputStreamReader.java:244)
06-25 09:01:23.324 16251 17565 W System.err: 	at java.io.BufferedReader.read(BufferedReader.java:310)
06-25 09:01:23.328   280 17553 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 09:01:23.332   280 17553 I qtaguid : Untagging socket 70 failed errno=-22
06-25 09:01:23.332   280 17553 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 09:01:23.347 16251 17565 W System.err: 	at org.jivesoftware.smack.XMPPConnection$AliveReader.read(XMPPConnection.java:1067)
06-25 09:01:23.347   142   198 D ConnectivityService: handleInetConditionChange: no active default network - ignore
06-25 09:01:23.351 16251 17565 W System.err: 	at org.kxml2.io.KXmlParser.fillBuffer(KXmlParser.java:1496)
06-25 09:01:23.351 16251 17565 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 09:01:23.355 16251 17565 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 09:01:23.355 16251 17565 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 09:01:23.355 16251 17565 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 09:01:23.355 16251 17565 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
