06-19 14:05:56.963  9586 10390 D PicasaSyncManager: sync complete: SyncResult: stats []
06-19 15:06:05.195   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:05.195   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:06:05.195   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:06:15.285  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:06:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:06:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:06:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:06:28.457   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:28.457   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:06:28.457   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:28.711   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:28.711   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:06:28.711   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:59.175   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:59.175   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:06:59.175   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:59.961   328   328 D SAN_SERVICE: *******************************************
06-19 15:06:59.961   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:06:59.961   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.422   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.422   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:09.422   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.652   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.652   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:09.652   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.843   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.843   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:09.843   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.918   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:09.918   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:09.918   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:10.461   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:10.461   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:10.461   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:19.660   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:19.664   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:19.664   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:19.941   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:19.941   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:19.941   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:20.695   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:20.695   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:20.695   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:25.035   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:25.035   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:25.035   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:33.636   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:33.636   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:33.636   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:33.730   328   331 D dalvikvm: GC_CONCURRENT freed 469K, 6% free 9467K/10055K, paused 1ms+2ms
06-19 15:07:34.031   142   964 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:07:34.039   328   328 D SystemClock: Setting time of day to sec=1340132854
06-19 15:07:34.101  9669  9694 V AlarmClock: AlarmInitReceiver finished
06-19 15:07:34.156   213   215 D dalvikvm: GC_CONCURRENT freed 519K, 49% free 10391K/20295K, paused 4ms+4ms
06-19 15:07:36.047   142   455 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:07:39.566   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:39.566   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:39.566   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:40.062   142   455 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:07:40.137   142   711 D dalvikvm: GC_EXPLICIT freed 559K, 24% free 15282K/20039K, paused 2ms+6ms
06-19 15:07:40.140   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:40.140   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:40.140   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:42.609   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:42.609   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:42.609   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:43.070   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:43.070   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:43.070   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:44.578   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:44.578   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:44.582   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:44.629   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:44.629   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:07:44.629   328   328 D SAN_SERVICE: *******************************************
06-19 15:07:45.062   142   358 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:08:15.230  8632  8645 I PhoneLab-: Service Running
06-19 15:08:15.324  8632  8635 D dalvikvm: GC_CONCURRENT freed 436K, 18% free 9209K/11207K, paused 1ms+5ms
06-19 15:08:15.324  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:08:15.328  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:08:15.328  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:08:15.328  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:08:46.144   142   326 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:08:48.758   328   328 D SAN_SERVICE: *******************************************
06-19 15:08:48.758   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:08:48.758   328   328 D SAN_SERVICE: *******************************************
06-19 15:08:48.855   328   328 D SAN_SERVICE: *******************************************
06-19 15:08:48.859   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:08:48.859   328   328 D SAN_SERVICE: *******************************************
06-19 15:08:49.144   328   328 D SAN_SERVICE: *******************************************
06-19 15:08:49.144   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:08:49.144   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:28.176   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:28.176   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:09:28.176   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:28.258   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:28.258   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:09:28.258   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:33.031   142   455 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 15:09:33.043   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:33.043   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:09:33.043   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:43.043   328   328 D SAN_SERVICE: *******************************************
06-19 15:09:43.043   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:09:43.043   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:03.512   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:03.512   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:03.512   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:04.086   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:04.086   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:04.086   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:04.105   328   331 D dalvikvm: GC_CONCURRENT freed 388K, 6% free 9470K/10055K, paused 13ms+2ms
06-19 15:10:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:10:15.281  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:10:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:10:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:10:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:10:18.875   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:18.875   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:18.875   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:19.137   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:19.137   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:19.140   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:34.226   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:34.226   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:34.226   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:35.019   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:35.019   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:35.019   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:59.840   328   328 D SAN_SERVICE: *******************************************
06-19 15:10:59.840   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:10:59.840   328   328 D SAN_SERVICE: *******************************************
06-19 15:11:15.176   328   328 D SAN_SERVICE: *******************************************
06-19 15:11:15.176   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:11:15.176   328   328 D SAN_SERVICE: *******************************************
06-19 15:11:15.922   328   328 D SAN_SERVICE: *******************************************
06-19 15:11:15.922   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:11:15.922   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:12:15.281  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:12:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:12:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:12:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:12:42.519   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:42.519   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:12:42.519   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:43.277   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:43.277   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:12:43.277   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:52.484   328   328 D SAN_SERVICE: *******************************************
06-19 15:12:52.484   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:12:52.484   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.082   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.082   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:13:08.082   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.328   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.328   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:13:08.328   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.625   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:08.625   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:13:08.625   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:59.039   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:59.039   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:13:59.039   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:59.308   328   328 D SAN_SERVICE: *******************************************
06-19 15:13:59.312   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:13:59.312   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:00.055   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:00.055   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:00.055   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:14:15.281  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:14:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:14:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:14:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:14:24.648   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:24.648   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:24.652   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:34.887   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:34.887   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:34.887   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:35.164   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:35.164   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:35.164   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:35.922   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:35.922   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:35.922   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:40.262   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:40.262   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:40.262   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:40.480   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:40.484   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:40.484   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:41.293   328   328 D SAN_SERVICE: *******************************************
06-19 15:14:41.293   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:14:41.293   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:00.633  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:15:00.648  8632  8632 I PhoneLab-StatusMonitor: Status Monitoring is started
06-19 15:15:00.699  8632  8635 D dalvikvm: GC_CONCURRENT freed 469K, 18% free 9251K/11207K, paused 1ms+2ms
06-19 15:15:00.707  8632  8632 I PhoneLab-StatusMonitor: Value: 10 - unit: min
06-19 15:15:00.707  8632  8632 I PhoneLab-StatusMonitor: Running interval: 600000
06-19 15:15:00.719  8632  8632 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
06-19 15:15:00.722  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:15:00.726  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Location
06-19 15:15:00.726  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:15:00.726  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:15:00.730  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 15:15:00.730  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
06-19 15:15:00.730  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:15:00.738  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 15:15:00.738  8632  8632 I PhoneLab-StatusMonitorBattery: Battery_level: 73
06-19 15:15:00.742  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:15:00.746  8632  8632 I PhoneLab-StatusMonitorSignal: Signal_Strength: -106 asu: 4
06-19 15:15:00.746  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:15:02.031  8632  8632 I PhoneLab-StatusMonitorLocation: Location_Latitude: 43.0019681 Longitude: -78.7871249 Accuracy: 33.0
06-19 15:15:02.031  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 15:15:02.035  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:15:03.262  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 15:15:03.351  8710  8712 D dalvikvm: GC_CONCURRENT freed 488K, 6% free 10545K/11207K, paused 8ms+2ms
06-19 15:15:36.320   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:36.320   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:15:36.320   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:36.609   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:36.609   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:15:36.609   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:37.113   328   328 D SAN_SERVICE: *******************************************
06-19 15:15:37.113   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:15:37.113   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:16:15.281  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:16:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:16:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:16:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:16:17.336   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:17.336   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:17.336   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:17.347   328   331 D dalvikvm: GC_CONCURRENT freed 457K, 6% free 9466K/10055K, paused 13ms+2ms
06-19 15:16:17.566   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:17.566   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:17.566   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:17.777   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:17.777   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:17.781   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:27.531   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:27.531   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:27.531   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:27.805   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:27.805   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:27.805   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:28.562   328   328 D SAN_SERVICE: *******************************************
06-19 15:16:28.562   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:16:28.562   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.047   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.047   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:18:15.047   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.129   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.129   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:18:15.129   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.219  8632  8645 I PhoneLab-: Service Running
06-19 15:18:15.285  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:18:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:18:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:18:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:18:15.301   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:15.301   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:18:15.301   328   328 D SAN_SERVICE: *******************************************
06-19 15:18:52.078   142   159 I ActivityManager: Start proc com.glu.deerhuntnew for broadcast com.glu.deerhuntnew/com.glu.plugins.NotificationReceiver: pid=10837 uid=10069 gids={3003, 1015}
06-19 15:18:52.082 10837 10837 I dalvikvm: Turning on JNI app bug workarounds for target SDK version 7...
06-19 15:18:52.101   142   325 I ActivityManager: No longer want com.google.android.apps.uploader (pid 9606): hidden #16
06-19 15:19:26.730   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:26.730   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:26.730   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:26.976   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:26.976   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:26.976   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:43.754   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:43.754   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:43.754   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:44.211   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:44.211   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:44.211   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.289   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.289   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:52.289   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.531   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.531   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:52.531   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.785   328   328 D SAN_SERVICE: *******************************************
06-19 15:19:52.785   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:19:52.785   328   328 D SAN_SERVICE: *******************************************
06-19 15:20:00.148   142   144 D dalvikvm: GC_CONCURRENT freed 1355K, 24% free 15369K/20039K, paused 3ms+7ms
06-19 15:20:12.816   328   328 D SAN_SERVICE: *******************************************
06-19 15:20:12.816   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:20:12.816   328   328 D SAN_SERVICE: *******************************************
06-19 15:20:13.320   328   328 D SAN_SERVICE: *******************************************
06-19 15:20:13.320   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:20:13.324   328   328 D SAN_SERVICE: *******************************************
06-19 15:20:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:20:15.281  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:20:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:20:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:20:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:22:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:22:15.293  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:22:15.293  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:22:15.293  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:22:15.293  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:22:15.301  8632  8635 D dalvikvm: GC_CONCURRENT freed 439K, 18% free 9212K/11207K, paused 2ms+2ms
06-19 15:22:27.570   328   328 D SAN_SERVICE: *******************************************
06-19 15:22:27.570   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:22:27.570   328   328 D SAN_SERVICE: *******************************************
06-19 15:22:36.187   328   328 D SAN_SERVICE: *******************************************
06-19 15:22:36.187   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:22:36.187   328   328 D SAN_SERVICE: *******************************************
06-19 15:23:58.101   328   328 D SAN_SERVICE: *******************************************
06-19 15:23:58.101   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:23:58.101   328   328 D SAN_SERVICE: *******************************************
06-19 15:23:58.640   328   328 D SAN_SERVICE: *******************************************
06-19 15:23:58.640   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:23:58.640   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:08.305   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:08.305   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:24:08.308   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:15.215  8632  8645 I PhoneLab-: Service Running
06-19 15:24:15.285  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 15:24:15.285  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 15:24:15.285  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 15:24:15.285  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 15:24:44.211   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:44.211   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:24:44.211   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:44.469   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:44.469   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:24:44.469   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:44.500   328   331 D dalvikvm: GC_CONCURRENT freed 386K, 6% free 9464K/10055K, paused 2ms+2ms
06-19 15:24:44.965   328   328 D SAN_SERVICE: *******************************************
06-19 15:24:44.965   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 15:24:44.965   328   328 D SAN_SERVICE: *******************************************
06-19 15:25:00.742  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:25:00.765  8632  8632 I PhoneLab-StatusMonitor: Status Monitoring is started
06-19 15:25:00.824  8632  8635 D dalvikvm: GC_CONCURRENT freed 413K, 17% free 9303K/11207K, paused 1ms+2ms
06-19 15:25:00.828  8632  8632 I PhoneLab-StatusMonitor: Value: 10 - unit: min
06-19 15:25:00.828  8632  8632 I PhoneLab-StatusMonitor: Running interval: 600000
06-19 15:25:00.836  8632  8632 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
06-19 15:25:00.836  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:25:00.840  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Location
06-19 15:25:00.840  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:25:00.847  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:25:00.851  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
06-19 15:25:00.851  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 15:25:00.851  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 15:25:00.859  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 15:25:00.863  8632  8632 I PhoneLab-StatusMonitorBattery: Battery_level: 78
06-19 15:25:00.871  8632  8632 I PhoneLab-Locks: wake lock released
06-19 15:25:00.871  8632  8632 I PhoneLab-StatusMonitorSignal: Signal_Strength: -106 asu: 4
