04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-24 01:20:35.816  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-24 01:20:35.824  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-24 01:20:35.824  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:20:35.824  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-24 01:20:36.793   145   201 D ConnectivityService: NetTransition Wakelock for WifiStateMachine released by timeout
04-24 01:20:37.109   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:20:37.148   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:20:37.152   270   270 I GTalkService/c: [AndroidEndpoint@1094414800] connect: acct=1000001, state=CONNECTING
04-24 01:20:37.156   270   270 I GTalkService/c: [GTalkConnection@1093894440] connect: acct=1, state=CONNECTING
04-24 01:20:37.219  7004  7004 I MediaUploader: No need to wake up
04-24 01:20:37.223  4972  4972 I PhoneLab-WiFiReceiver: WiFi is disconnected!
04-24 01:20:37.281  7004  7004 I MediaUploader: No need to wake up
04-24 01:20:37.309  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:20:37.309  5820  5852 D PicasaSyncManager: background data: true
04-24 01:20:37.394   145 30951 D dalvikvm: GC_EXPLICIT freed 1173K, 20% free 15935K/19783K, paused 3ms+7ms
04-24 01:20:37.414   270   272 D dalvikvm: GC_CONCURRENT freed 615K, 7% free 11102K/11911K, paused 2ms+74ms
04-24 01:20:38.840   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:20:38.914  7004  7004 I MediaUploader: No need to wake up
04-24 01:20:38.949  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:20:38.953  5820  5852 D PicasaSyncManager: background data: true
04-24 01:20:41.867   145   201 D ConnectivityService: ConnectivityChange for mobile: CONNECTED/CONNECTED
04-24 01:20:41.898   145   201 D NetUtils: android_net_utils_resetConnections in env=0xfbf428 clazz=0xf7100001 iface=rmnet0 mask=0x3
04-24 01:20:41.898   145   201 D ConnectivityService: ConnectivityChange for mobile: DISCONNECTED/DISCONNECTED
04-24 01:20:41.898   145   201 D ConnectivityService: Attempting to switch to WIFI
04-24 01:20:41.898   145   201 D ConnectivityService: Attempting to switch to WIMAX
04-24 01:20:41.898   145   201 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
04-24 01:20:41.898   145   201 D ConnectivityService: resetConnections(rmnet0, 3)
04-24 01:20:42.601   145   201 D ConnectivityService: handleInetConditionHoldEnd: net=1, condition=100, published condition=0
04-24 01:20:43.863  6263  6265 D dalvikvm: GC_CONCURRENT freed 256K, 9% free 9794K/10695K, paused 6ms+4ms
04-24 01:20:44.766   270   272 D dalvikvm: GC_CONCURRENT freed 558K, 7% free 11125K/11911K, paused 2ms+13ms
04-24 01:20:44.949   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:20:44.984   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:20:45.016  7004  7004 I MediaUploader: No need to wake up
04-24 01:20:45.051  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:20:45.051  5820  5852 D PicasaSyncManager: background data: true
04-24 01:20:45.082  7004  7004 I MediaUploader: No need to wake up
04-24 01:20:45.121  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:20:45.121  5820  5852 D PicasaSyncManager: background data: true
04-24 01:20:45.488   145   201 D ConnectivityService: handleInetConditionHoldEnd: net=1, condition=100, published condition=100
04-24 01:21:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:21:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:21:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:21:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:21:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:21:49.449  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:21:49.465  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 01:21:49.531  4972  4975 D dalvikvm: GC_CONCURRENT freed 537K, 15% free 9265K/10823K, paused 1ms+5ms
04-24 01:21:49.559  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 01:21:49.559  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 01:21:49.562  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 01:21:49.570  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:21:49.570  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 01:21:49.570  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:21:49.570  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:21:49.574  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 01:21:49.574  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:21:49.582  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 01:21:49.582  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:21:49.586  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 01:21:49.586  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:23:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:23:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:23:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:23:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:23:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:23:44.086  4972  4975 D dalvikvm: GC_CONCURRENT freed 470K, 16% free 9179K/10823K, paused 1ms+2ms
04-24 01:24:11.836 19618  8914 W Gmail   : Successful index run, cancel next scheduled index run
04-24 01:25:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:25:44.082  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:25:44.082  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:25:44.082  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:25:44.082  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:26:22.324   145   147 D dalvikvm: GC_CONCURRENT freed 1562K, 20% free 15987K/19783K, paused 2ms+7ms
04-24 01:26:49.594  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:26:49.605  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 01:26:49.660  4972  4975 D dalvikvm: GC_CONCURRENT freed 372K, 14% free 9310K/10823K, paused 2ms+4ms
04-24 01:26:49.668  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 01:26:49.672  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 01:26:49.687  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 01:26:49.699  4972  4984 D dalvikvm: GC_EXPLICIT freed 151K, 15% free 9220K/10823K, paused 2ms+2ms
04-24 01:26:49.703  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:26:49.703  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 01:26:49.703  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:26:49.711  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:26:49.711  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 01:26:49.711  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:26:49.715  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 01:26:49.715  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:26:49.723  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 01:26:49.723  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:27:06.914  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:27:06.934  4972  8921 I PhoneLab-PeriodicCheckService: User info is synched
04-24 01:27:06.937  4972  8921 I PhoneLab-PeriodicCheckService: Logger Service is running
04-24 01:27:06.949   215   217 D dalvikvm: GC_CONCURRENT freed 388K, 19% free 9659K/11783K, paused 2ms+2ms
04-24 01:27:06.949  4972  8921 I PhoneLab-Locks: wake lock acquired
04-24 01:27:06.953  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-24 01:27:06.953  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-24 01:27:06.953  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:27:06.953  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-24 01:27:06.961  4972  8921 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-24 01:27:06.965  4972  8921 I PhoneLab-Locks: wake lock released
04-24 01:27:22.441   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:69:d1 reason=0
04-24 01:27:22.449    75   117 D CommandListener: Clearing all IP addresses on wlan0
04-24 01:27:22.496   145   201 D ConnectivityService: ConnectivityChange for WIFI: DISCONNECTED/DISCONNECTED
04-24 01:27:22.496   145   201 D ConnectivityService: Attempting to switch to mobile
04-24 01:27:22.496   145   201 D ConnectivityService: Attempting to switch to WIMAX
04-24 01:27:22.496   145   201 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
04-24 01:27:22.531   145   201 D NetUtils: android_net_utils_resetConnections in env=0xfbf428 clazz=0x6b00001 iface=wlan0 mask=0x3
04-24 01:27:22.531   145   201 D ConnectivityService: resetConnections(wlan0, 3)
04-24 01:27:22.547   145   201 D ConnectivityService: ConnectivityChange for WIMAX: DISCONNECTED/SCANNING
04-24 01:27:22.566   145   201 D ConnectivityService: Attempting to switch to mobile
04-24 01:27:22.566   145   201 D ConnectivityService: Attempting to switch to WIFI
04-24 01:27:22.566   145   201 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
04-24 01:27:22.594   270  8901 W Smack/Packet: notify conn break (IOEx), close connection
04-24 01:27:22.750   270  8901 I qtaguid : Failed write_ctrl(u 68) res=-1 errno=22
04-24 01:27:22.754   270  8901 I qtaguid : Untagging socket 68 failed errno=-22
04-24 01:27:22.754   270  8901 W NetworkManagementSocketTagger: untagSocket(68) failed with errno -22
04-24 01:27:22.777   145   201 D ConnectivityService: handleInetConditionChange: no active default network - ignore
04-24 01:27:25.559   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:25.590   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:25.644  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:25.648  4972  4972 I PhoneLab-WiFiReceiver: WiFi is disconnected!
04-24 01:27:25.684  5820  5852 D PicasaSyncManager: active network: null
04-24 01:27:25.687  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:25.691  5820  5852 D PicasaSyncManager: background data: true
04-24 01:27:25.738  5820  5852 D UploadsManager: collect new photo: MediaTracker:steven.y.ko@gmail.com,trackNew:photo-external,331:photo-phoneStorage,-1:video-external,202:video-phoneStorage,-1
04-24 01:27:25.746  5820  5852 D UploadsManager: collect new video: MediaTracker:steven.y.ko@gmail.com,trackNew:photo-external,331:photo-phoneStorage,-1:video-external,202:video-phoneStorage,-1
04-24 01:27:25.754  5820  5852 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
04-24 01:27:25.766  5820  5852 D PicasaSyncManager: reject MetadataSyncTask (steven.y.ko@gmail.com) for wifi connection
04-24 01:27:25.769  5820  5852 D PicasaSyncManager: active network: null
04-24 01:27:25.769  5820  5852 D PicasaSyncManager: background data: true
04-24 01:27:28.738   145   201 D ConnectivityService: ConnectivityChange for mobile: CONNECTED/CONNECTED
04-24 01:27:28.809   145   197 D NetworkPolicy: applying policy NetworkPolicy[NetworkTemplate: matchRule=MOBILE_ALL, subscriberId=valid]: cycleDay=21, warningBytes=2147483648, limitBytes=-1, lastSnooze=-1 to ifaces [rmnet0]
04-24 01:27:29.742   145   201 D ConnectivityService: NetTransition Wakelock for WifiStateMachine released by timeout
04-24 01:27:31.801   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:31.836   270   270 I GTalkService/c: [AndroidEndpoint@1094414800] connect: acct=1000001, state=CONNECTING
04-24 01:27:31.840   270   270 I GTalkService/c: [GTalkConnection@1093894440] connect: acct=1, state=CONNECTING
04-24 01:27:31.898  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:31.922  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: mobile[CDMA - EvDo rev. A], state: CONNECTED/CONNECTED, reason: (unspecified), extra: , roaming: false, failover: true, isAvailable: true
04-24 01:27:31.945  5820  5852 D PicasaSyncManager: background data: true
04-24 01:27:32.012  5145  5148 D dalvikvm: GC_CONCURRENT freed 405K, 12% free 10508K/11911K, paused 7ms+2ms
04-24 01:27:32.027   270   272 D dalvikvm: GC_CONCURRENT freed 757K, 8% free 11010K/11911K, paused 2ms+6ms
04-24 01:27:32.039 19678 19680 D dalvikvm: GC_CONCURRENT freed 372K, 7% free 9437K/10119K, paused 1ms+9ms
04-24 01:27:32.117   361   376 D dalvikvm: GC_EXPLICIT freed 731K, 13% free 11999K/13703K, paused 2ms+8ms
04-24 01:27:33.445   145   201 D ConnectivityService: handleInetConditionHoldEnd: net=0, condition=100, published condition=0
04-24 01:27:33.684   145  6878 D dalvikvm: GC_EXPLICIT freed 1404K, 20% free 15949K/19783K, paused 3ms+8ms
04-24 01:27:38.644   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-24 01:27:38.684   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-24 01:27:38.687   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-24 01:27:38.691   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-24 01:27:38.695   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-24 01:27:38.695   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-24 01:27:38.777   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
04-24 01:27:38.781   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=2 subject='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
04-24 01:27:38.785   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=1 subject='/C=US/ST=UT/L=Salt Lake City/O=The USERTRUST Network/CN=USERTrust Legacy Secure Server CA'
04-24 01:27:38.793   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PEER-CERT depth=0 subject='/C=US/postalCode=14260/ST=New York/L=Buffalo/street=305 Computing Center/O=SUNY AT BUFFALO/OU=Issued through UNIVERSITY AT BUFFALO E-PKI Manager/OU=Comodo PremiumSSL Legacy/CN=radius1.cit.buffalo.edu'
04-24 01:27:38.957   291   291 I wpa_supplicant: EAP-MSCHAPV2: Authentication succeeded
04-24 01:27:38.965   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-24 01:27:38.973   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-SUCCESS EAP authentication completed successfully
04-24 01:27:39.039   291   291 I wpa_supplicant: wlan0: WPA: Key negotiation completed with d0:c2:82:66:6b:f1 [PTK=CCMP GTK=TKIP]
04-24 01:27:39.039   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-CONNECTED - Connection to d0:c2:82:66:6b:f1 completed (reauth) [id=2 id_str=]
04-24 01:27:39.719   145   201 D ConnectivityService: ConnectivityChange for WIFI: CONNECTED/CONNECTED
04-24 01:27:39.719   145   201 D ConnectivityService: Policy requires mobile teardown
04-24 01:27:39.730  4972  4972 I PhoneLab-WiFiReceiver: WiFi is connected!
04-24 01:27:39.730  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:27:39.746  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-24 01:27:39.746  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-24 01:27:39.754  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:27:39.762  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-24 01:27:39.781   145   201 D ConnectivityService: ConnectivityChange for mobile: DISCONNECTED/DISCONNECTED
04-24 01:27:39.781   145   201 D ConnectivityService: Attempting to switch to WIFI
04-24 01:27:39.781   145   201 D ConnectivityService: Attempting to switch to WIMAX
04-24 01:27:39.781   145   201 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
04-24 01:27:39.797   145   201 D ConnectivityService: resetConnections(rmnet0, 3)
04-24 01:27:39.801   145   201 D NetUtils: android_net_utils_resetConnections in env=0xfbf428 clazz=0x2dc00001 iface=rmnet0 mask=0x3
04-24 01:27:39.805   145   196 W NetworkStats: dropping UID delta from unknown iface: iface=wlan0 uid=0 set=DEFAULT tag=0x0 rxBytes=0 rxPackets=0 txBytes=140 txPackets=2 operations=0
04-24 01:27:39.828   270  8927 W Smack/Packet: notify conn break (IOEx), close connection
04-24 01:27:39.984   270  8927 I qtaguid : Failed write_ctrl(u 68) res=-1 errno=22
04-24 01:27:39.984   270  8927 I qtaguid : Untagging socket 68 failed errno=-22
04-24 01:27:39.988   270  8927 W NetworkManagementSocketTagger: untagSocket(68) failed with errno -22
04-24 01:27:40.008   145   201 D ConnectivityService: handleInetConditionChange: net=0 != default=1 - ignore
04-24 01:27:42.797   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:42.836   270   270 I GTalkService/c: [AndroidEndpoint@1094414800] connect: acct=1000001, state=CONNECTING
04-24 01:27:42.840   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:42.840   270   270 I GTalkService/c: [GTalkConnection@1093894440] connect: acct=1, state=CONNECTING
04-24 01:27:42.855   145   205 D Tethering: MasterInitialState.processMessage what=3
04-24 01:27:42.891  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:42.941  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:27:42.945  5820  5852 D PicasaSyncManager: background data: true
04-24 01:27:42.976  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:43.062  7004  7004 I MediaUploader: No need to wake up
04-24 01:27:43.098  5820  5823 D dalvikvm: GC_CONCURRENT freed 406K, 13% free 10037K/11463K, paused 2ms+7ms
04-24 01:27:43.125  5820  5852 D UploadsManager: collect new photo: MediaTracker:steven.y.ko@gmail.com,trackNew:photo-external,331:photo-phoneStorage,-1:video-external,202:video-phoneStorage,-1
04-24 01:27:43.148  5820  5852 D UploadsManager: collect new video: MediaTracker:steven.y.ko@gmail.com,trackNew:photo-external,331:photo-phoneStorage,-1:video-external,202:video-phoneStorage,-1
04-24 01:27:43.152   270   272 D dalvikvm: GC_CONCURRENT freed 563K, 8% free 11069K/11911K, paused 2ms+3ms
04-24 01:27:43.187  5820  5852 D PicasaSyncManager: reject MetadataSyncTask (steven.y.ko@gmail.com) because downsync is disabled
04-24 01:27:43.195  5820  5852 D PicasaSyncManager: active network: NetworkInfo: type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), roaming: false, failover: false, isAvailable: true
04-24 01:27:43.195  5820  5852 D PicasaSyncManager: background data: true
04-24 01:27:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:27:44.078  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:27:44.078  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:27:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:27:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:27:47.199   145   201 D ConnectivityService: handleInetConditionHoldEnd: net=1, condition=100, published condition=0
04-24 01:29:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:29:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:29:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:29:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:29:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:31:24.047   270  1041 I EventLogService: Aggregate from 1335243683938 (log), 1335243683938 (data)
04-24 01:31:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:31:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:31:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:31:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:31:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:31:49.730  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:31:49.738  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 01:31:49.773  4972  4975 D dalvikvm: GC_CONCURRENT freed 488K, 15% free 9243K/10823K, paused 2ms+2ms
04-24 01:31:49.797  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 01:31:49.797  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 01:31:49.805  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 01:31:49.805  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:31:49.805  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 01:31:49.809  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:31:49.809  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:31:49.812  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 01:31:49.812  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:31:49.816  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 01:31:49.816  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:31:49.816  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 01:31:49.820  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:31:49.820   145   145 I ActivityManager: No longer want com.android.providers.calendar (pid 8459): hidden #16
04-24 01:31:49.934   145   147 D dalvikvm: GC_CONCURRENT freed 1652K, 20% free 15945K/19783K, paused 4ms+6ms
04-24 01:33:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:33:44.059  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:33:44.059  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:33:44.059  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:33:44.059  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:35:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:35:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:35:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:35:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:35:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:36:49.863  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:36:49.902  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 01:36:49.922  4972  4975 D dalvikvm: GC_CONCURRENT freed 533K, 15% free 9221K/10823K, paused 23ms+2ms
04-24 01:36:49.945  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 01:36:49.945  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 01:36:49.961  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 01:36:49.961  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:36:49.965  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 01:36:49.965  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:36:49.976  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:36:49.976  4972  4975 D dalvikvm: GC_CONCURRENT freed 426K, 16% free 9187K/10823K, paused 2ms+4ms
04-24 01:36:49.980  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 01:36:49.980  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 01:36:49.992  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 01:36:49.992  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:36:49.992  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 01:36:49.992  4972  4972 I PhoneLab-Locks: wake lock released
04-24 01:37:44.012  4972  4985 I PhoneLab-: Service Running
04-24 01:37:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 01:37:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 01:37:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 01:37:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 01:39:11.453  5820  9005 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
